code,name,category,rarity,levels,frame_upgrade,hidden,trigger,earn_rule,engine,build_hook,art
iron-duelist,Iron Duelist,Dueling,rare,,,,on_duel_completed,Duel at least once a week for a full month.,no engine · overlaps Relentless,,ready
duel-legend,Duel Legend,Dueling,legendary,,,,on_duel_completed,Reach number one on a dueling leaderboard.,no engine,,ready
deadlock,Deadlock,Dueling,epic,,,,on_duel_completed,Battle to a true draw that survives sudden death.,LIVE,,ready
dueling-master,Dueling Master,Dueling,legendary,100/150/200/250/500/1000,yes,,on_duel_completed,"Complete 100 to 1,000 duels.",no engine,,pending
underdog,Underdog,Dueling,rare,1/5/10/25,yes,,on_duel_completed,Win a duel as the lower-rated duelist.,no engine · rating-at-duel-time,,pending
clutch,Clutch,Dueling,epic,,,,on_duel_completed,Win a duel in sudden death.,no engine · sudden-death flag,,pending
flawless-victory,Flawless Victory,Dueling,epic,,,,on_duel_completed,Win a duel with every community vote.,no engine · 100% vote share,,pending
photo-finish,Photo Finish,Dueling,uncommon,,yes,,on_duel_completed,Win a duel by a single vote.,no engine · 1-vote margin (hidden),,pending
redemption,Redemption,Dueling,rare,,,,on_duel_completed,Beat an opponent who has beaten you before.,no engine · duel history,,pending
first-vote,First Vote,Voting,common,,,,on_duel_vote_cast,Cast your first vote.,LIVE,,ready
voice-of-the-people,Voice of the People,Voting,rare,25/100/500/1000/5000,yes,,on_duel_vote_cast,"Cast 25 to 5,000 votes.",first 3 tiers only — add 4/5,,ready
daily-voter,Daily Voter,Voting,uncommon,5/10/25/50/100,yes,,on_duel_vote_cast,Vote on consecutive days — new level at 5/10/25/50/100.,single-shot only — needs tier logic,,ready
sharp-eye,Sharp Eye,Voting,rare,10/25/50/100/250,yes,,on_duel_completed,Pick the winning side in >=70% of your votes — new level at 10/25/50/100/250.,single-shot only — needs tier logic,,ready
kingmaker,Kingmaker,Voting,rare,5/10/25/50/100,yes,,on_duel_completed,Cast the final vote for a duel's winner — new level at 5/10/25/50/100.,redefined — needs engine,,ready
fair-witness,Honorable Voter (was Fair Witness),Voting,uncommon,,,,on_duel_completed,Pick the duel winner more than 85% of the time. Drop below and you lose it.,REVOCABLE — needs delete/deactivate,,ready
oracle,Oracle,Voting,rare,1/5/10/25,yes,,on_duel_completed,Vote for an underdog who goes on to win.,no engine · voted lower-rated winner,,pending
superfan,Superfan,Voting,uncommon,10/25/50/100/250,yes,,on_duel_vote_cast,Watch duels start to finish.,needs watch-time persisted,,pending
teammate,Teammate,Community & Charter,common,,,,on_result_finalized,Compete in the same round as a schoolmate.,no engine,,ready
globetrotter,Globetrotter,Community & Charter,rare,,,,on_result_finalized,Compete alongside students from many different schools.,no engine,,pending
anniversary,Anniversary,Community & Charter,uncommon,,,,on_scheduled,Reach one year since you joined.,no engine,,ready
trendsetter,Trendsetter,Community & Charter,rare,,,,on_badge_award,Be the first at your school to earn a rare or higher badge.,no engine · META hook on any award,,pending
perfect-score,Perfect Score,Community & Charter,legendary,,,,on_result_finalized,Score above 96 in every judging criterion.,no engine,,ready
zen,Zen,Community & Charter,epic,,yes,,on_result_finalized,Score above 95 overall in a single performance.,no engine (hidden),,ready
buzzer-beater,Buzzer Beater,Community & Charter,uncommon,,yes,,on_entry_submitted,Submit an entry in the final minute before a deadline.,no engine · <60s to deadline (hidden),,pending
charter-member,Charter Member,Community & Charter,legendary,,,,on_onboarding_complete,Compete in the very first season.,no engine,,ready
trailblazer,Trailblazer,Community & Charter,legendary,,,,on_onboarding_complete,Be one of the first 100 competitors ever to join.,no engine,,pending
ascent,Ascent,Growth,rare,60/70/80/90/95,yes,,on_rating_updated,"Reach a rating of 60, 70, 80, 90, then 95.",no engine · skill_ratings absolute threshold,,pending
